Element,Skill,Effect,Power,Accuracy,Crit Rate,Ailment Chance,Cost,Card/Notes
Physical,Lunge,Light Physical damage to 1 foe.,60,90%,20%,N/A,5% HP,Bicorn^*
Physical,Cleave,Light Physical damage to 1 foe.,65,90%,20%,N/A,6% HP,Cait Sith^ / Berith*
Physical,Power Slash†,Medium Physical damage to 1 foe.,100,85%,20%,N/A,10% HP,Berith^**
Physical,Assault Dive,Heavy Physical damage to 1 foe.,130,90%,20%,N/A,13% HP,Bicorn**
Physical,Megaton Raid,Severe Physical damage to 1 foe.,300,85%,25%,N/A,16% HP,Cerberus^*
Physical,Brave Blade,Colossal Physical damage to 1 foe.,600,90%,35%,N/A,24% HP,Atavaka^*
Physical,God's Hand,Colossal Physical damage to 1 foe.,800,90%,15%,N/A,25% HP,Cerberus**
Physical,Giant Slice,Medium Physical damage to 1 foe. Stronger under Baton Pass.,90,90%,30%,N/A,9% HP,Inugami*
Physical,Rising Slash,Heavy Physical damage to 1 foe. Stronger under Baton Pass.,140,90%,5%,N/A,14% HP,Inugami** / Valkyrie*
Physical,Deadly Fury,Severe Physical damage to 1 foe. Stronger under Baton Pass.,220,90%,5%,N/A,18% HP,Skadi^ / Valkyrie**
Physical,Double Fangs,Light Physical damage to 1 foe 2x.,40,90%,5%,N/A,10% HP,Orthrus^ / Shiisaa*
Physical,Kill Rush†,Light Physical damage to 1 foe 1x to 3x.,40,90%,5%,N/A,14% HP,Oni**
Physical,Gatling Blow†,Light Physical damage to 1 foe 3x to 4x.,30,90%,5%,N/A,16% HP,Tempest Slash etc.
Physical,Tempest Slash,Minuscule Physical damage to 1 foe 3x to 5x.,20,85%,5%,N/A,17% HP,Hanuman^ / Dakini*
Physical,Myriad Slashes,Medium Physical damage to 1 foe 2x to 3x.,90,85%,5%,N/A,20% HP,Dakini**
Physical,Terror Claw,Medium Physical damage and inflict Fear (medium odds) to 1 foe.,100,90%,5%,35%,8% HP,Nekomata^ / Kumbhanda*
Physical,Headbutt,Medium Physical damage and inflict Forget (medium odds) to 1 foe.,80,90%,5%,35%,9% HP,Black Ooze*
Physical,Hysterical Slap,Medium Physical damage and inflict Rage (medium odds) to 1 foe.,80,90%,5%,35%,9% HP,Kumbhanda^ / Yaksini*
Physical,Brain Shake,Medium Physical damage and inflict Brainwash (medium odds) to 1 foe.,80,90%,5%,35%,9% HP,Inugami^
Physical,Sledgehammer,Medium Physical damage and inflict Dizzy (medium odds) to 1 foe.,100,90%,5%,35%,10% HP,Ippon-Datara^*
Physical,Skull Cracker,Medium Physical damage and inflict Confusion (medium odds) to 1 foe.,100,90%,5%,35%,10% HP,Nue^ / Mothman*
Physical,Negative Pile,Heavy Physical damage and inflict Despair (medium odds) to 1 foe.,120,90%,3%,35%,12% HP,Lamia^
Physical,Death Scythe†,Severe Physical damage and inflict Fear (medium odds) to 1 foe.,300,90%,5%,55%,20% HP,Macabre**
Physical,Lucky Punch,Minuscule Physical damage to 1 foe. High critical rate.,25,75%,45%,N/A,3% HP,Obariyon*
Physical,Miracle Punch,Medium Physical damage to 1 foe. High critical rate.,80,75%,45%,N/A,8% HP,Ganesha^ / Obariyon**
Physical,Sword Dance,Colossal Physical damage to 1 foe. High critical rate.,360,90%,40%,N/A,21% HP,Atavaka**
Physical,Cornered Fang,Medium Physical damage to 1 foe. Stronger when surrounded.,100,85%,35%,N/A,10% HP,Shiisaa**
Physical,Ayamur,Medium Physical damage to 1 foe 3x. High Accuracy. (Unique to Baal),100,95%,10%,N/A,25% HP,-
Physical,Laevateinn†,Colossal Physical damage to 1 foe. (Unique to Loki/Hereward),800,98%,0%,N/A,25% HP,-
Physical,Masquerade†,Severe Physical damage to 1 foe 2x. (Unique to Ella),300,90%,30%,N/A,25% HP,-
